TARGET37	-2314.451	219.215	-405.000	0.024	0.017	0.022	0.000
TARGET38	-2081.287	177.223	-69.921	0.024	0.018	0.023	0.000
TARGET39	-1962.717	161.806	110.578	0.025	0.018	0.024	0.000
TARGET40	-1996.323	180.690	55.454	0.026	0.018	0.023	0.000
TARGET41	-1908.839	165.416	198.438	0.027	0.019	0.023	0.000
TARGET42	-1975.217	184.525	87.750	0.023	0.017	0.022	0.000
TARGET43	-2013.032	198.437	27.685	0.024	0.017	0.022	0.000
TARGET44	-2107.905	228.598	-113.198	0.025	0.018	0.023	0.000
TARGET45	-2166.013	271.812	-195.408	0.024	0.018	0.022	0.000
TARGET46	-2054.843	258.059	-40.633	0.024	0.018	0.023	0.000
TARGET47	-1965.281	247.219	96.242	0.024	0.018	0.022	0.000
TARGET48	-2274.273	315.238	-364.860	0.026	0.018	0.022	0.000
TARGET49	-2012.249	264.001	21.998	0.024	0.018	0.023	0.000
TARGET50	-1901.288	300.705	196.758	0.028	0.019	0.024	0.000
TARGET51	-1949.822	343.697	113.702	0.028	0.020	0.024	0.000
TARGET52	-1800.363	328.658	334.368	0.026	0.019	0.023	0.000
TARGET53	-2014.781	387.136	10.953	0.025	0.019	0.023	0.000
TARGET54	-2104.084	443.783	-118.040	0.026	0.019	0.023	0.000
TARGET55	-2146.797	453.507	-175.384	0.027	0.020	0.024	0.000
TARGET56	-2171.040	462.174	-241.199	0.026	0.020	0.022	0.000
TARGET57	-1835.232	409.470	266.624	0.025	0.020	0.024	0.000
TARGET58	-1878.306	472.042	190.394	0.024	0.019	0.023	0.000
TARGET59	-2050.369	535.428	-77.018	0.025	0.020	0.023	0.000
TARGET60	-1930.979	514.262	104.060	0.023	0.019	0.022	0.000
TARGET61	-1989.831	534.478	12.880	0.025	0.020	0.022	0.000
TARGET62	-1999.179	11.631	79.515	0.026	0.018	0.023	0.000
TARGET63	-2200.458	-66.936	-190.651	0.025	0.017	0.024	0.000
TARGET64	-2181.306	388.320	-220.451	0.025	0.019	0.025	0.000
TARGET66	-2127.958	-206.459	-56.907	0.026	0.017	0.023	0.000
TARGET67	-2147.986	28.965	-139.893	0.024	0.017	0.022	0.000
TARGET68	-2154.395	144.010	-166.689	0.026	0.019	0.026	0.000
TARGET69	-2340.581	115.648	-422.827	0.025	0.017	0.022	0.000
TARGET71	-2235.068	135.133	-269.656	0.025	0.018	0.024	0.000
TARGET72	-2227.592	398.835	-312.487	0.026	0.019	0.025	0.000
TARGET73	-2038.571	204.839	-11.235	0.024	0.018	0.024	0.000
TARGET74	-2312.642	-275.721	-275.845	0.026	0.018	0.025	0.000
TARGET75	-2264.778	-166.235	-248.953	0.027	0.017	0.024	0.000
TARGET76	-2231.489	240.392	-276.285	0.026	0.018	0.024	0.000
TARGET78	-2153.277	-441.396	-9.309	0.027	0.017	0.024	0.000
TARGET79	-2043.117	-410.985	143.257	0.028	0.017	0.023	0.000
